22
1440 4 32511 32191 32960 32537 ; ¿U¬h
1435 4 32512 32537 32960 33023 ; ¥j¾|¤B
1445 4 32512 33023 32960 33535 ; ­·¤ì
1432 4 32960 32191 33216 32511 ; °g¤Û´ËªL
1438 4 32960 32511 33280 33023 ; ªÖ¯S
1438 4 33088 33023 33280 33087 ; ªÖ¯S
1442 4 32960 33023 33088 33087 ; »ÈÃM¤h
1442 4 32959 33087 33280 33535 ; »ÈÃM¤h
1431 4 33216 32191 33472 32511 ; Às¤§¨¦
1439 4 33472 32191 33856 32511 ; «Â¹y
1439 4 33536 32511 33856 32575 ; «Â¹y
1434 4 33280 32511 33536 33023 ; ©_©¥
1434 4 33536 32575 33920 33023 ; ©_©¥
1436 4 33280 33023 33792 33535 ; ®ü­µ
1441 4 33856 32191 33920 32575 ; ¼Ú·ç
1441 4 33920 32127 34304 32739 ; ¼Ú·ç
1430 4 33920 32739 34304 33023 ; ¨È¤B
1430 4 33792 33023 34304 33535 ; ¨È¤B
1433 70 0 0 0 0 ; ¿ò§Ñ¤§®q	
1437 69 0 0 0 0 ; ÁôÂÃ¤§¨¦
1443 68 0 0 0 0 ; ºq°Û¤§®q
1444 0 0 0 0 0 ; »¡¸Ü¤§®q
